id,franchise_name,name,image_file_name,image_content_type,image_file_size,image_updated_at,is_new,active_ingredient,description,position,seo_url,active,created_at,updated_at,size,code,upc,collection,price,locale_id,product_category_id,origins_prodid
1,A Perfect World™,Eyes Firming moisture treatment with White Tea ,,,,,,,"Our lightweight, hydrating treatment instantly renews under eyes. Helps firm, tone and diminish dark circles. Plus, antioxidant-rich White Tea blocks oxidation while White Birch Extract help lessen the appearance of new creases and crinkles. Dermatologist and Ophthalmologist tested.",,,1,,,15ml,05H6010000,717334086494,,30,2,9,11270
2,A Perfect World™,Age Defense Treatment Lotion with White Tea,,,,,,,"Oil and alcohol free treatment lotion helps surround skin in an age-defending protective bubble. Antioxidant-rich White Tea plus revitalizing Trehalose hydrate. Leaves skin soft, smooth, comfortable. Prepped for treatments to follow.",,,1,,,150ml,0HNM010000,717334164437,,22,2,10,16064
3,A Perfect World™,Antioxidant cleanser with White Tea,,,,,,,"This perfect foaming-face wash with antioxidant-rich White Tea helps preserve skin's youth. Dirt-grabbing minerals plus gentle, cleansing Palm, Coconut and Oat Amino Acid reach deep to help detoxify and free skin of harmful, free radical-releasing impurities before they cause oxidation, deterioration and dehydration. Skin is clean, smooth and refreshed. Dermatologist and Ophthalmologist Tested.",,,1,,,150ml,0ETH010000,717334136052,,22,2,19,12210
4,A Perfect World™,Antioxidant moisturizer with White Tea,,,,,,,"White Tea is among the most potent antioxidants, anti-agers, anti-stress, anti-smoke, anti-pollution antidotes around. We harnessed its perfect-protective powers to help maintain skin's youth and defend it from environmental damage. This serum helps neutralise free radicals before they deface skin, maximises skin's moisture barrier, hydrate, firm and brighten. Plus, aromatic Orange, Bergamot and Spearmint fortify the feel-good factor. Keep your skin in A Perfect World 24/7.",,,1,,,50ml,07M5010000,717334095137,,34,2,12,10345
5,A Perfect World™,SPF25 Age-defense moisturizer with White Tea,,,,,,,"This super-charged, oil-free, antioxidant-rich moisturiser with White Tea, Maritime Pine and UVA/UVB sunscreens surrounds skin in a protective bubble to help delay the appearance of premature ageing signs. In a test that simulated ground ozone pollution, we demonstrated 76%* less environmental damage based on an in vitro study of simulated ozone using our antioxidant blend measuring oxidative damage.",,,1,,,50ml,0GPT010000,717334153394,,34,2,11,10350
7,A Perfect World™,White tea skin guardian,,,,,,,"The key to a longer-lasting look of youth, health and vitality? Antioxidant-rich White Tea. It helps banish youth offenders before they cause visible signs of oxidation, deterioration and dehydration. Smoothness is immediate. And lush, tranquil Mimosa, Orange and Bergamot sweep over you like a tropical trade wind. Skin has found its Shangri-la. Dermatologist and Ophthalmologist tested.",,,1,,,50ml,067L010000,717334086838,,50,2,8,10474
8,Balanced Diet™,Lightweight moisture lotion,,,,,,,"When skin is not the same all over, it's hard to feed your needs. Nature's nutritionists provide precise portion control to be sure that skin ""eats"" smart. Wheat Protein and Soy Protein deliver lightweight liquid nourishment where needed, to soften and soothe dry zones without weighing down T-zones. Konjac Powder soaks up sebum - and only sebum - and leaves no leftovers to shine a face up. Skin that's oily here, dry there feels fresher, smoother everywhere.
",,,1,,,50ml,0EEF010000,717334131293,,24,2,,11120
9,Blade Runner®,Energising shave cream,,,,,,,"Feel blades glide with no resistance as skin-conditioning Kukui Nut Oil and smoothing Soybean Oil give you a close, friction-free shave. Plus the aroma of invigorating Coriander, Eucalyptus and Peppermint boosts energy so you're ready to face the day.",,,1,,,150ml,0AK0010000,717334117082,,15,2,15,11914
10,By All Greens™,"Foaming deep cleansing mask with Green Tea, Spirulina and Spinach ",,,,,,,"Self-activating foam mask with Green Tea, Spirulina and Spinach helps gently deep clean and unclog pores without stripping skin.
Stayed out too late? Ate take out all week? Work taking over your life? And now your skin is paying for it. You need a serious detox. Fast!
By All Greens™ foaming clay mask gives you just that. It’s a mask. And a cleanser! The creamy clay mask unclogs pores to detoxify. Then transforms into a self-activating foam to gently yet deeply cleanse. All without stripping skin. It’s packed with nutrient-rich Spirulina, Spinach and Green Tea—all known to for their detox power. This green blend is rich in antioxidants, vitamins and minerals. Plus Coconut derived cleansers and Kaolin Clay help remove skin-damaging dirt, pollution and pore-cloggers. So skin gets its’ deepest, purest clean. Feels cool, clear and totally refreshed. By All Greens™. It’s more than just a mask.
",,,1,,,100ml,0MJ6010000,717334210226,,30,2,7,40232
11,Checks and Balances™,Frothy face wash,,,,,,,"Our clever cleanser balances faces with dry and oily places. This gentle, frothy face wash with Broad Leaf Kelp Extract, Wheat Protein and Tourmaline discourages excess oil production while protecting dry prone zones. Plus the aroma of Bergamot, Spearmint and Lavender refreshes. Skin feels comfortably clean. Never tight, pulled or parched.",,,1,,,150ml,048E010000,717334070219,,16.5,2,19,11226
12,Clean Energy™,Gentle cleansing oil,,,,,,,"This lightweight formula with non-comedogenic Olive, Sunflower, Sesame and Safflower Oils removes dirt, makeup and pollutants with high efficiency. Kukui Nut and Macadamia help protect natural moisture. Vitamin E helps reduce the effects of environmental irritants. Skin breathes freely. And the energising aroma of Grapefruit, Orange and Lemon renews your spirits.",,,1,,,200ml,0CHE010000,717334124110,,24.5,2,,12191
13,Clear Improvement®,Active charcoal mask ,,,,,,," Nature's complexion clean-up crew clears the way for skin to act its best. Bamboo Charcoal acts like a magnet to draw out deep-dwelling pore-cloggers, White China Clay absorbs environmental toxins, Lecithin dissolves impurities. Skin looks clearer, feels perfectly pure.",,,1,,,100ml,767G020000,717334032521,,24,2,7,11588
14,Clear Improvement™,Detoxifying charcoal body scrub,,,,,,,"Slough away dead skin while you deep clean. Sea Salts and Brown Sugar exfoliate to smooth. While Bamboo Charcoal helps get rid of dirt and debris. Skin feels super soft. Plus the ultra-refreshing aroma of Clove and Wintergreen leaves you with an invigorated, clean feeling.",,,1,,,150ml,0LK4010000,717334202016,,25,2,,36380
