product_id,skin_type_id
1,1
1,2
1,3
2,1
2,2
2,3
3,1
3,2
3,3
4,1
4,2
4,3
5,1
5,3
7,1
7,2
7,3
8,3
9,1
9,2
9,3
10,1
11,1
11,2
11,3
12,1
12,2
12,3
13,1
13,2
13,3
14,1
15,1
16,1
16,2
16,3
17,1
17,2
17,3
19,1
19,2
19,3
20,1
20,2
20,3
21,1
21,2
21,3
22,1
22,2
22,3
23,1
23,2
23,3
24,1
24,2
24,3
25,1
25,2
25,3
26,1
26,2
26,3
27,1
27,2
27,3
28,1
28,2
28,3
29,1
29,2
29,3
30,1
30,2
30,3
31,1
31,2
31,3
32,1
32,2
32,3
33,1
33,2
33,3
34,1
34,3
35,1
35,3
36,1
36,2
36,3
37,1
37,2
37,3
38,1
38,2
38,3
39,1
39,2
39,3
40,1
41,1
41,2
41,3
42,1
42,2
42,3
43,1
43,3
44,2
44,3
45,1
45,3
46,1
46,2
46,3
47,1
47,2
47,3
49,1
49,3
50,1
51,3
52,1
52,3
53,1
53,3
54,1
55,1
55,3
56,1
57,1
58,1
58,2
58,3
59,1
59,2
59,3
60,1
60,2
60,3
61,1
61,2
61,3
63,1
63,2
63,3
64,1
64,2
64,3
65,2
66,1
66,2
66,3
67,1
67,2
67,3
68,1
68,2
68,3
69,1
69,2
69,3
71,1
71,2
71,3
72,1
72,2
72,3
73,1
73,2
73,3
74,1
74,2
74,3
75,1
75,2
75,3
76,1
76,2
76,3
77,1
77,2
77,3
78,1
78,2
78,3
79,1
79,2
79,3
80,1
80,2
80,3
81,1
82,1
83,1
83,2
83,3
84,2
85,1
85,2
85,3
86,1
86,2
86,3
87,1
87,2
87,3
88,1
88,2
88,3
89,2
91,1
91,2
91,3
92,1
92,2
92,3
94,3
95,1
95,2
95,3
96,1
96,2
96,3
97,2
98,2
99,2
